# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
  278       1.595049345312e-02       1.263092403684e-02       1.037523839075e-02 
  279       1.596357342024e-02       1.264145755763e-02       1.038533112187e-02 
  280       1.597653700208e-02       1.265188419948e-02       1.039528174089e-02 
  281       1.598940504698e-02       1.266221634667e-02       1.040509846398e-02 
  282       1.600219879364e-02       1.267246658265e-02       1.041478964640e-02 
  283       1.601493987332e-02       1.268264769084e-02       1.042436378298e-02 
  284       1.602765031202e-02       1.269277265542e-02       1.043382950868e-02 
  285       1.604035253273e-02       1.270285466213e-02       1.044319559912e-02 
  286       1.605306935760e-02       1.271290709903e-02       1.045247097115e-02 
  287       1.606582401012e-02       1.272294355735e-02       1.046166468331e-02 
  288       1.607864011740e-02       1.273297783225e-02       1.047078593644e-02 
  289       1.609154171229e-02       1.274302392359e-02       1.047984407417e-02 
  290       1.610455323562e-02       1.275309603677e-02       1.048884858347e-02 
  291       1.611769953843e-02       1.276320858351e-02       1.049780909520e-02 
  292       1.613100588412e-02       1.277337618261e-02       1.050673538462e-02 
  293       1.614449795068e-02       1.278361366080e-02       1.051563737193e-02 
  294       1.615820183289e-02       1.279393605348e-02       1.052452512283e-02 
  295       1.617214404455e-02       1.280435860554e-02       1.053340884901e-02 
  296       1.618635152062e-02       1.281489677215e-02       1.054229890875e-02 
  297       1.620085161948e-02       1.282556621956e-02       1.055120580737e-02 
  298       1.621567212512e-02       1.283638282589e-02       1.056014019787e-02 
  299       1.623084124932e-02       1.284736268189e-02       1.056911288136e-02 
  300       1.624638763389e-02       1.285852209180e-02       1.057813480766e-02 
