# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
  290       1.286789197462e-02       8.859221732041e-03       6.778040822046e-03 
  291       1.287798415971e-02       8.880591507956e-03       6.784279570925e-03 
  292       1.288813853135e-02       8.902051876116e-03       6.790575719250e-03 
  293       1.289837060377e-02       8.923622575762e-03       6.796928714867e-03 
  294       1.290869611366e-02       8.945323782129e-03       6.803337877792e-03 
  295       1.291913102107e-02       8.967176109642e-03       6.809802398592e-03 
  296       1.292969151033e-02       8.989200615116e-03       6.816321336749e-03 
  297       1.294039399091e-02       9.011418800957e-03       6.822893619040e-03 
  298       1.295125509833e-02       9.033852618354e-03       6.829518037900e-03 
  299       1.296229169502e-02       9.056524470485e-03       6.836193249803e-03 
  300       1.297352087129e-02       9.079457215711e-03       6.842917773628e-03 
