# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  121       4.457386672934e-10       1.362090552584e-13      -4.793018924958e-12       0.000000000000e+00       6.486532270697e-12       1.021620091780e-12      -6.102572528242e-15 
  122       4.502233477222e-10       1.373395907458e-13      -4.866040723046e-12       0.000000000000e+00       6.341562748942e-12       1.003556954298e-12      -6.028376164504e-15 
  123       4.547183387534e-10       1.384149403549e-13      -4.937601035943e-12       0.000000000000e+00       6.200949143983e-12       9.859388113549e-13      -5.949775276748e-15 
  124       4.592225273893e-10       1.394339135702e-13      -5.007626054186e-12       0.000000000000e+00       6.064533917923e-12       9.687561480071e-13      -5.867763857491e-15 
  125       4.637346982954e-10       1.403953590569e-13      -5.076041868810e-12       0.000000000000e+00       5.932128151169e-12       9.519963086830e-13      -5.783403343505e-15 
  126       4.682535310539e-10       1.412981660252e-13      -5.142774499373e-12       0.000000000000e+00       5.803510729984e-12       9.356434115156e-13      -5.697823956703e-15 
  127       4.727775974182e-10       1.421412655941e-13      -5.207749921980e-12       0.000000000000e+00       5.678427534023e-12       9.196782626742e-13      -5.612226045018e-15 
  128       4.773053585665e-10       1.429236321559e-13      -5.270894097313e-12       0.000000000000e+00       5.556590623883e-12       9.040782706962e-13      -5.527881423287e-15 
  129       4.818353284044e-10       1.436443293833e-13      -5.332134359700e-12       0.000000000000e+00       5.437740129942e-12       8.888226759548e-13      -5.445888218076e-15 
  130       4.863665895611e-10       1.443026510597e-13      -5.391403697092e-12       0.000000000000e+00       5.321839320707e-12       8.739090696394e-13      -5.366402147215e-15 
  131       4.908983290724e-10       1.448979983479e-13      -5.448636995753e-12       0.000000000000e+00       5.208899497945e-12       8.593385334683e-13      -5.289323052125e-15 
  132       4.954296758643e-10       1.454298381991e-13      -5.503769758700e-12       0.000000000000e+00       5.098918853388e-12       8.451104398277e-13      -5.214533415829e-15 
  133       4.999596991940e-10       1.458977050361e-13      -5.556738143461e-12       0.000000000000e+00       4.991882104945e-12       8.312224041358e-13      -5.141897939998e-15 
  134       5.044874070931e-10       1.463012024371e-13      -5.607478999847e-12       0.000000000000e+00       4.887760132912e-12       8.176702372090e-13      -5.071263122003e-15 
  135       5.090117448091e-10       1.466400048190e-13      -5.655929907713e-12       0.000000000000e+00       4.786509616187e-12       8.044478976266e-13      -5.002456831954e-15 
  136       5.135315932477e-10       1.469138591214e-13      -5.702029214726e-12       0.000000000000e+00       4.688072668478e-12       7.915474440956e-13      -4.935287889756e-15 
  137       5.180457674148e-10       1.471225864897e-13      -5.745716074126e-12       0.000000000000e+00       4.592376474513e-12       7.789589878166e-13      -4.869545642152e-15 
  138       5.225530148589e-10       1.472660839590e-13      -5.786930482497e-12       0.000000000000e+00       4.499332926258e-12       7.666706448482e-13      -4.804999539768e-15 
  139       5.270520141129e-10       1.473443261374e-13      -5.825613317528e-12       0.000000000000e+00       4.408838259121e-12       7.546684884729e-13      -4.741398714164e-15 
  140       5.315413731365e-10       1.473573668898e-13      -5.861706375779e-12       0.000000000000e+00       4.320772688169e-12       7.429365015615e-13      -4.678471554882e-15 
  141       5.360196277581e-10       1.473053410213e-13      -5.895152410448e-12       0.000000000000e+00       4.235000044335e-12       7.314565289387e-13      -4.615925286489e-15 
  142       5.404852401171e-10       1.471884659607e-13      -5.925895169132e-12       0.000000000000e+00       4.151367410634e-12       7.202082297483e-13      -4.553445545627e-15 
  143       5.449365971059e-10       1.470070434445e-13      -5.953879431598e-12       0.000000000000e+00       4.069704758370e-12       7.091690298179e-13      -4.490695958060e-15 
  144       5.493721398571e-10       1.467614715207e-13      -5.979051380767e-12       0.000000000000e+00       3.989860597445e-12       6.983190108505e-13      -4.427387891951e-15 
  145       5.537907698818e-10       1.464522783425e-13      -6.001359677175e-12       0.000000000000e+00       3.911813656422e-12       6.876562218035e-13      -4.363498360961e-15 
