# Matter power spectrum P(k) at redshift z=0
# for k=1.04545e-05 to 1.69273 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.544245847307e-01       3.046564993709e+03 
       1.576370882754e-01       2.909341197076e+03 
       1.608495982376e-01       2.787336744986e+03 
       1.640621139105e-01       2.681188085450e+03 
       1.672746347638e-01       2.590717861477e+03 
       1.704871603811e-01       2.514535514509e+03 
       1.736996904222e-01       2.450460058380e+03 
       1.769122245994e-01       2.395726409909e+03 
       1.801247626621e-01       2.347359433675e+03 
       1.833373043878e-01       2.302516000440e+03 
       1.865498495757e-01       2.258804341295e+03 
       1.897623980422e-01       2.213221637940e+03 
       1.929749496186e-01       2.164450949666e+03 
       1.961875041486e-01       2.111133292232e+03 
       1.994000614870e-01       2.053508094791e+03 
       2.026126214982e-01       1.992025615202e+03 
       2.058251840557e-01       1.927962963248e+03 
       2.090377490407e-01       1.862802387844e+03 
       2.122503163422e-01       1.798296229163e+03 
       2.154628858556e-01       1.735713280971e+03 
       2.186754574826e-01       1.676501375522e+03 
       2.218880311308e-01       1.621473344457e+03 
       2.251006067129e-01       1.571302456771e+03 
       2.283131841467e-01       1.526213619564e+03 
       2.315257633547e-01       1.486207302647e+03 
       2.347383442634e-01       1.450845111689e+03 
       2.379509268036e-01       1.419570786156e+03 
       2.411635109095e-01       1.391523843571e+03 
       2.443760965191e-01       1.365733599641e+03 
       2.475886835734e-01       1.341279709279e+03 
       2.508012720166e-01       1.317172077976e+03 
       2.540138617956e-01       1.292803160700e+03 
       2.572264528600e-01       1.267679777546e+03 
       2.604390451621e-01       1.241404432462e+03 
       2.636516386563e-01       1.214040759706e+03 
       2.668642332992e-01       1.185667110490e+03 
       2.700768290497e-01       1.156522609800e+03 
       2.732894258685e-01       1.127023489083e+03 
       2.765020237181e-01       1.097669236515e+03 
       2.797146225627e-01       1.068934856874e+03 
       2.829272223684e-01       1.041205723776e+03 
       2.861398231025e-01       1.014982909876e+03 
       2.893524247340e-01       9.904890714923e+02 
       2.925650272331e-01       9.677725948932e+02 
       2.957776305714e-01       9.469268756573e+02 
       2.989902347217e-01       9.276852117787e+02 
       3.022028396580e-01       9.099272983439e+02 
       3.054154453554e-01       8.933431645078e+02 
       3.086280517899e-01       8.777001629133e+02 
       3.118406589387e-01       8.627146545970e+02 
       3.150532667798e-01       8.480942371238e+02 
       3.182658752921e-01       8.336048824083e+02 
       3.214784844554e-01       8.190866231895e+02 
       3.246910942503e-01       8.043219568493e+02 
       3.279037046582e-01       7.893440231567e+02 
       3.311163156610e-01       7.741403139815e+02 
       3.343289272417e-01       7.588342376279e+02 
       3.375415393835e-01       7.434931939829e+02 
       3.407541520706e-01       7.283370533107e+02 
       3.439667652875e-01       7.133928272678e+02 
       3.471793790196e-01       6.988892105350e+02 
       3.503919932526e-01       6.848562653739e+02 
       3.536046079728e-01       6.714197871973e+02 
       3.568172231669e-01       6.586390735916e+02 
       3.600298388223e-01       6.464996990772e+02 
       3.632424549265e-01       6.350195037226e+02 
       3.664550714679e-01       6.241680946738e+02 
       3.696676884348e-01       6.137999737577e+02 
       3.728803058164e-01       6.038683428384e+02 
       3.760929236018e-01       5.942567430662e+02 
       3.793055417808e-01       5.848727147228e+02 
       3.825181603435e-01       5.756394192795e+02 
       3.857307792802e-01       5.665318835698e+02 
       3.889433985815e-01       5.574474321643e+02 
       3.921560182386e-01       5.484255042719e+02 
       3.953686382427e-01       5.394575352733e+02 
       3.985812585854e-01       5.304893680088e+02 
       4.017938792585e-01       5.216018502900e+02 
       4.050065002541e-01       5.128137154032e+02 
       4.082191215647e-01       5.041514709619e+02 
       4.114317431826e-01       4.956724492584e+02 
       4.146443651009e-01       4.874040168910e+02 
       4.178569873126e-01       4.793835550872e+02 
       4.210696098109e-01       4.716173899604e+02 
       4.242822325892e-01       4.641027642895e+02 
       4.274948556413e-01       4.568567425703e+02 
       4.307074789610e-01       4.498320159302e+02 
       4.339201025423e-01       4.430203825620e+02 
       4.371327263794e-01       4.364353067347e+02 
       4.403453504668e-01       4.300515462581e+02 
       4.435579747989e-01       4.238305996944e+02 
       4.467705993705e-01       4.177255134388e+02 
       4.499832241763e-01       4.117516046361e+02 
       4.531958492115e-01       4.058735165043e+02 
       4.564084744712e-01       4.000436640954e+02 
       4.596210999506e-01       3.942840507517e+02 
       4.628337256451e-01       3.885937664954e+02 
       4.660463515503e-01       3.829767294607e+02 
       4.692589776619e-01       3.774311836934e+02 
       4.724716039755e-01       3.719644257804e+02 
       4.756842304872e-01       3.665835861501e+02 
       4.788968571928e-01       3.612912591962e+02 
       4.821094840886e-01       3.561065416455e+02 
       4.853221111707e-01       3.510374961172e+02 
       4.885347384354e-01       3.460952658514e+02 
