# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  137       5.253057458633e-10       1.500362791576e-13      -5.824815326112e-12       7.875525550142e-16       4.365134372864e-12       7.208492787156e-13      -4.692389136490e-15 
  138       5.298927922702e-10       1.502023997145e-13      -5.866616893887e-12       7.998394669356e-16       4.276828172843e-12       7.095754670068e-13      -4.624386283537e-15 
  139       5.344710990993e-10       1.503026995127e-13      -5.905854679354e-12       8.122481844940e-16       4.190938102051e-12       6.985694154152e-13      -4.556663302234e-15 
  140       5.390392372931e-10       1.503372299142e-13      -5.942468987304e-12       8.247795617821e-16       4.107350713998e-12       6.878253929927e-13      -4.489433097164e-15 
  141       5.435957049415e-10       1.503061239825e-13      -5.976401048696e-12       8.374344587206e-16       4.025937029311e-12       6.773362078351e-13      -4.422916259686e-15 
  142       5.481389257162e-10       1.502095981833e-13      -6.007593058145e-12       8.502137409916e-16       3.946552190782e-12       6.670931721778e-13      -4.357341163338e-15 
  143       5.526672473062e-10       1.500479540844e-13      -6.035988211412e-12       8.631182799707e-16       3.869035118411e-12       6.570860674899e-13      -4.292944059225e-15 
  144       5.571790739676e-10       1.498215912877e-13      -6.061531270456e-12       8.761488987170e-16       3.793242296719e-12       6.473052062168e-13      -4.229918535032e-15 
  145       5.616732822091e-10       1.495310440720e-13      -6.084170242235e-12       8.893062040815e-16       3.719153619073e-12       6.377479197755e-13      -4.168258074960e-15 
  146       5.661488433032e-10       1.491769516114e-13      -6.103854937448e-12       9.025907378417e-16       3.646776371026e-12       6.284126468137e-13      -4.107898087392e-15 
  147       5.706046920629e-10       1.487600488180e-13      -6.120536497993e-12       9.160030287848e-16       3.576111887576e-12       6.192968713444e-13      -4.048764953659e-15 
  148       5.750397260471e-10       1.482811681061e-13      -6.134167437489e-12       9.295435923307e-16       3.507155404369e-12       6.103970998908e-13      -3.990775832417e-15 
  149       5.794528047668e-10       1.477412411578e-13      -6.144701681795e-12       9.432129301542e-16       3.439895908912e-12       6.017088386312e-13      -3.933838464036e-15 
  150       5.838427488898e-10       1.471413006872e-13      -6.152094609535e-12       9.570115298084e-16       3.374315991777e-12       5.932265705430e-13      -3.877850974982e-15 
  151       5.882083394468e-10       1.464824822057e-13      -6.156303092614e-12       9.709398643469e-16       3.310391697810e-12       5.849437325479e-13      -3.822701682201e-15 
  152       5.925483170371e-10       1.457660257866e-13      -6.157285536740e-12       9.849983919469e-16       3.248092377342e-12       5.768526926562e-13      -3.768268897503e-15 
  153       5.968613810338e-10       1.449932778299e-13      -6.155001921945e-12       9.991875555319e-16       3.187380537394e-12       5.689447271114e-13      -3.714420731946e-15 
  154       6.011461887896e-10       1.441656928276e-13      -6.149413843109e-12       1.013507782394e-15       3.128211692886e-12       5.612099975349e-13      -3.661014900216e-15 
  155       6.054013548423e-10       1.432848351280e-13      -6.140484550475e-12       1.027959483818e-15       3.070534217848e-12       5.536375280707e-13      -3.607898525018e-15 
  156       6.096254501206e-10       1.423523807009e-13      -6.128178990172e-12       1.042543054701e-15       3.014289196623e-12       5.462151825298e-13      -3.554907941453e-15 
  157       6.138170011494e-10       1.413701189023e-13      -6.112463844738e-12       1.057258873181e-15       2.959410275080e-12       5.389296415349e-13      -3.501868501405e-15 
  158       6.179744892553e-10       1.403399542392e-13      -6.093307573639e-12       1.072107300252e-15       2.905823511819e-12       5.317663796650e-13      -3.448594377926e-15 
  159       6.220963497728e-10       1.392639081348e-13      -6.070680453789e-12       1.087088679393e-15       2.853447229383e-12       5.247096426001e-13      -3.394888369615e-15 
  160       6.261809712490e-10       1.381441206929e-13      -6.044554620071e-12       1.102203336189e-15       2.802191865462e-12       5.177424242657e-13      -3.340541705006e-15 
  161       6.302268063360e-10       1.369828026420e-13      -6.014903935233e-12       1.117451543653e-15       2.751978331820e-12       5.108501617926e-13      -3.285381155562e-15 
  162       6.342327171526e-10       1.357820826858e-13      -5.981703501578e-12       1.132833415552e-15       2.702795227935e-12       5.040322355794e-13      -3.229415467366e-15 
  163       6.381976590875e-10       1.345441499632e-13      -5.944930183334e-12       1.148349002886e-15       2.654646426103e-12       4.972914472656e-13      -3.172701565207e-15 
